nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
BDVI7149C120;20141009;20241009;TV;3.96;DVI;BANCO DAVIVIENDA S.A;COP
BDVI6149C120;20140515;20240515;TV;3.89;DVI;BANCO DAVIVIENDA S.A;COP
BDVI4179C120;20170607;20270607;TV;3.39;DVI;BANCO DAVIVIENDA S.A;COP
BDVI4179C084;20170607;20240607;TV;3.13;DVI;BANCO DAVIVIENDA S.A;COP
BDVI317SF084;20170329;20240329;TV;7.4;DVI;BANCO DAVIVIENDA S.A;COP
BDVI3179C096;20170329;20250329;TV;3.83;DVI;BANCO DAVIVIENDA S.A;COP
BDVI3129C180;20120815;20270815;TV;4.23;DVI;BANCO DAVIVIENDA S.A;COP
BDVI3129C120;20120815;20220815;TV;4.07;DVI;BANCO DAVIVIENDA S.A;COP
BDVI121SF060;20210907;20260907;TV;6.89;DVI;BANCO DAVIVIENDA S.A;COP
BDVI1219C120;20210907;20310907;TV;3.4;DVI;BANCO DAVIVIENDA S.A;COP
BDVI1218B036;20210907;20240907;MV;1.34;DVI;BANCO DAVIVIENDA S.A;COP
BDVI1169C144;20160727;20280727;TV;4;DVI;BANCO DAVIVIENDA S.A;COP
BDVI1139C12;20130213;20230213;TV;3.23;DVI;BANCO DAVIVIENDA S.A;COP
BDVI1059C120;20151110;20251110;TV;4.5;DVI;BANCO DAVIVIENDA S.A;COP
BDVI021SF060;20210218;20260218;TV;4.69;DVI;BANCO DAVIVIENDA S.A;COP
BDVI0219C084;20210218;20280218;TV;1.91;DVI;BANCO DAVIVIENDA S.A;COP
BDVI01169C84;20160727;20230727;TV;3.67;DVI;BANCO DAVIVIENDA S.A;COP
BCTE119SA005;20190529;20240529;TV;6.65;CTE;COLOMBIA TELECOMUNICACIONES SA ESP;COP
BCTE1199C010;20190529;20290529;TV;3.39;CTE;COLOMBIA TELECOMUNICACIONES SA ESP;COP
BCOS919SE004;20190307;20230307;TV;6.3;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCOS8189B005;20181023;20231023;TV;2.82;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCOS718SE007;20180411;20250411;TV;6.74;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCOS120SE004;20200825;20240825;TV;4.7;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCOS1209B007;20200825;20270825;TV;2.45;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCOL1199C010;20190717;20290717;TV;3.37;COL;COLOMBINA S.A.;COP
BCOL1199C005;20190717;20240717;TV;2.63;COL;COLOMBINA S.A.;COP
BCLP05149FS;20141211;20241211;SV;4.58;CLP;SCOTIABANK COLPATRIA S.A.;COP
BCLP04129FS;20121003;20221003;SV;4.14;CLP;SCOTIABANK COLPATRIA S.A.;COP
BCLI01139D12;20131211;20251211;TV;5;CLI;CELSIA S.A.;COP
BCHB1129B15;20121213;20271213;TV;3.64;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BCHB1129B10;20121213;20221213;TV;3.52;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
