fecha_hora;nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
2022-09-14:11:50:44.002216;TFIT16280428;10000000000;7689990000;74.615;12.54;TRD;20120428;20280428;AV;6;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:49:20.002199;TFIT16240724;500000000;491873500;96.95;11.882;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:48:23.002193;TUVT11070525;5000000;1583760392;99.452;3.715;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:48:16.002192;TUVT11070525;15000000;4751281177;99.452;3.715;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:45:17.002158;TUVT11070525;1500000;475189456;99.465;3.71;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:45:08.002157;TFIT16240724;1000000000;983897000;96.965;11.872;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:44:52.002156;TFIT16240724;2500000000;2459242500;96.945;11.885;ASPT;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:44:42.002154;TUVT11070525;10000000;3168684636;99.489;3.7;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:44:36.002152;TUVT32160649;70000000;15954233627;71.255;5.914;TRD;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:44:36.002151;TUVT32160649;70000000;15893119663;71.255;5.914;TRD;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:44:25.002149;TUVT11170327;10000000;3044964021;95.166;4.505;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:43:58.002144;TUVT11070525;5000000;1584153585;99.477;3.705;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:41:47.990333;BFAN9219C036;500000000;475750000;93.462;18.155;TRD;20210420;20240420;TV;1.88;FAN;BANCO FINANDINA S.A.
2022-09-14:11:41:32.990331;BFAN9219C036;500000000;475750000;93.462;18.155;TRD;20210420;20240420;TV;1.88;FAN;BANCO FINANDINA S.A.
2022-09-14:11:40:48.002127;TFIT10260331;500000000;373308000;71.363;12.66;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:40:37.002125;TUVT20040435;100000000;28838428639;89.559;5.95;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:40:22.002123;TUVT11070525;10000000;3169879944;99.527;3.685;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:40:12.002121;TUVT11170327;10000000;3045561675;95.185;4.5;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:39:38.990325;BCOS919SE004;500000000;485445000;96.97;13.43;TRD;20190307;20230307;TV;6.3;CHB;ENEL COLOMBIA S.A. E.S.P.
2022-09-14:11:39:32.002109;TUVT18250237;190000000;48276138268;78.711;5.99;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:39:29.990324;BCOS919SE004;500000000;485445000;96.97;13.43;TRD;20190307;20230307;TV;6.3;CHB;ENEL COLOMBIA S.A. E.S.P.
2022-09-14:11:38:19.002096;TUVT11170327;35000000;10659465862;95.185;4.5;TRD;20160317;20270317;AV;3.3;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:36:05.002078;TFIT16300632;40000000000;28221400000;69.096;12.67;TRD;20160630;20320630;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:34:55.002066;TFIT08261125;4000000000;3585280000;84.632;12.325;TRD;20171126;20251126;AV;6.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:33:17.002055;TUVT18250237;40000000;10164655748;78.721;5.988;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:32:08.990303;BPMG1099C15;500000000;508985000;101.015;16.7;TRD;20090827;20240827;TV;5.99;PMG;PROMIGAS S.A. E.S.P.
2022-09-14:11:30:28.002019;TUVT32160649;10000000;2261952692;70.985;5.94;TRD;20170616;20490616;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:10.001956;TFIT16240724;5000000000;4912354098;96.776;11.994;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:10.001955;TFIT16240724;5000000000;4910035000;96.776;11.994;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:07.001954;TUVT18250237;2623000;669287116;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:07.001953;TUVT18250237;2623000;669154517;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:01.001952;TFIT16240724;5000000000;4912354098;96.776;11.994;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:25:01.001951;TFIT16240724;5000000000;4910035000;96.776;11.994;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
